id,Author,Year,HostPlantSpecies,ResponseVariable,FireFrequency,PostfireTime,FireType,PollinatorGroup,VegetationType,PlantLifeForm,Biome,latitude,longitude,yi,vi
1,Adedoja,2022,NA,Visits,Once_burned-unburned,early,Prescribed,Multiple_InsectsOrders,Savana,NA,Temperate_grasslands._savannas_and_shrublands,29.7333333,-83.21666667,1.7833,0.9482
1,Adedoja,2022,NA,Visits,Once_burned-unburned,early,Prescribed,Multiple_InsectsOrders,Savana,NA,Temperate_grasslands._savannas_and_shrublands,29.7333333,-83.21666667,1.9442,0.9817
1,Adedoja,2022,NA,Visits,Once_burned-unburned,early,Prescribed,Multiple_InsectsOrders,Savana,NA,Temperate_grasslands._savannas_and_shrublands,29.7333333,-83.21666667,1.7973,0.9706
2,Arneson,2004,Iliamna_bakeri,Visits,NA,late,Wildfire,Bees,Shrublands,Forbs,Deserts_and_xeric_shrublands,41.6585389,-120.4985171,-0.131,0.5024
3,Banza,2021,NA,Visits,Once_burned-unburned,early,Wildfire,Bees,Shrublands,NA,Mediterranean_forests._woodlands_and_scrublands,37.17713,-7.86082,2.1362,1.8711
3,Banza,2021,NA,Visits,Once_burned-unburned,early,Wildfire,Beetles,Shrublands,NA,Mediterranean_forests._woodlands_and_scrublands,37.17713,-7.86082,1.3262,0.8132
3,Banza,2021,NA,Visits,Once_burned-unburned,early,Wildfire,Beetles,Shrublands,NA,Mediterranean_forests._woodlands_and_scrublands,37.17713,-7.86082,0.3338,0.676
4,Barton,2018,Asimina_reticulata,Visits,Once_burned-unburned,early,Prescribed,Multiple_InsectsOrders,Shrublands,Shrubs,Temperate_grasslands._savannas_and_shrublands,27.1805556,-81.36083333,0.4939,0.0492
4,Barton,2018,Asimina_reticulata,Visits,Once_burned-unburned,late,Prescribed,Multiple_InsectsOrders,Shrublands,Shrubs,Temperate_grasslands._savannas_and_shrublands,27.1805556,-81.36083333,0.4862,0.0528
5,Bell,2022,Banksia_conferta,Visits,Once_burned-unburned,late,Wildfire,Vertebrates,Forest,Shrubs,Temperate_broadleaf_and_mixed_forests,-31.71505198,152.525408,0.3363,0.338
6,Brown,2016,Caladenia_tentaculata,Visits,Once_burned-unburned,early,Wildfire,Wasps,Shrublands,Geophytes,Mediterranean_forests._woodlands_and_scrublands,-37.16889064,142.3972059,0.3654,0.1316
6,Brown,2016,Caladenia_tentaculata,Visits,Once_burned-unburned,late,Wildfire,Wasps,Shrublands,Geophytes,Mediterranean_forests._woodlands_and_scrublands,-37.16889064,142.3972059,-0.3006,0.1542
6,Brown,2016,Caladenia_tentaculata,Visits,Once_burned-unburned,late,Wildfire,Wasps,Shrublands,Geophytes,Mediterranean_forests._woodlands_and_scrublands,-37.16889064,142.3972059,-0.294,0.1374
6,Brown,2016,Caladenia_tentaculata,Visits,Once_burned-unburned,late,Wildfire,Wasps,Shrublands,Geophytes,Mediterranean_forests._woodlands_and_scrublands,-37.16889064,142.3972059,-0.3476,0.2217
7,Burkle,2022,NA,Visits,Once_burned-unburned,late,Wildfire,Bees,Forest,NA,Temperate_coniferous_forest,46.7,-111.7,1.3593,0.1452
7,Burkle,2022,NA,Visits,Once_burned-unburned,late,Wildfire,Bees,Forest,NA,Temperate_coniferous_forest,46.7,-111.7,2.1241,0.1844
7,Burkle,2022,NA,Visits,Once_burned-unburned,late,Wildfire,Bees,Forest,NA,Temperate_coniferous_forest,45.2,-110.4,3.3033,0.2703
7,Burkle,2022,NA,Visits,Once_burned-unburned,late,Wildfire,Bees,Forest,NA,Temperate_coniferous_forest,45.2,-110.4,3.7046,0.3104
7,Burkle,2022,NA,Visits,Once_burned-unburned,late,Wildfire,Bees,Forest,NA,Temperate_coniferous_forest,48.6,-114.3,0.4543,0.114
7,Burkle,2022,NA,Visits,Once_burned-unburned,late,Wildfire,Bees,Forest,NA,Temperate_coniferous_forest,48.6,-114.3,-0.2661,0.1121
8,Carbone,2017,Desmodium_uncinatum,Visits,Repeated_burned-unburned,early,Wildfire,Bees,Shrublands,Forbs,Tropical_and_subtropical_grasslands._savannahs._and_shrublands,-31.11782999,-64.364201845,-0.3246,0.6754
8,Carbone,2017,Desmodium_uncinatum,Visits,Once_burned-unburned,early,Wildfire,Bees,Shrublands,Forbs,Tropical_and_subtropical_grasslands._savannahs._and_shrublands,-31.11782999,-64.364201845,0.0047,0.6667
8,Carbone,2017,Rhynchosia_edulis,Visits,Repeated_burned-unburned,early,Wildfire,Multiple_InsectsOrders,Shrublands,Forbs,Tropical_and_subtropical_grasslands._savannahs._and_shrublands,-31.11782999,-64.364201845,-0.179,0.6693
8,Carbone,2017,Rhynchosia_edulis,Visits,Once_burned-unburned,early,Wildfire,Multiple_InsectsOrders,Shrublands,Forbs,Tropical_and_subtropical_grasslands._savannahs._and_shrublands,-31.11782999,-64.364201845,0.1929,0.6698
9,Coates,2009,Caladenia_orientalis,Pollen_performance,Once_burned-unburned,early,Prescribed,Wasps,Shrublands,Geophytes,Temperate_broadleaf_and_mixed_forests,-38.61,145.6,0,0.2159
10,daSilva,2022,NA,Visits,NA,early,Wildfire,Multiple_InsectsOrders,Grassland,NA,Tropical_and_subtropical_grasslands._savannahs._and_shrublands,-30.0863889,-51.08416667,1.2878,0.5254
11,Decker,2019,NA,Visits,Once_burned-unburned,early,Prescribed,Bees,Grassland,NA,Temperate_grasslands._savannas_and_shrublands,38.70752351,-88.79061515,-0.2489,0.2879
11,Decker,2019,NA,Visits,Once_burned-unburned,early,Prescribed,Bees,Grassland,NA,Temperate_grasslands._savannas_and_shrublands,38.70752351,-88.79061515,-0.2593,0.2881
11,Decker,2019,NA,Visits,Once_burned-unburned,early,Prescribed,Bees,Grassland,NA,Temperate_grasslands._savannas_and_shrublands,38.70752351,-88.79061515,0.205,0.2872
11,Decker,2019,NA,Visits,Once_burned-unburned,early,Prescribed,Bees,Grassland,NA,Temperate_grasslands._savannas_and_shrublands,38.70752351,-88.79061515,0.2939,0.2888
12,Garc a,2018,Derelomus_chamaeropis,Visits,Once_burned-unburned,early,Wildfire,Beetles,Shrublands,Shrubs,Mediterranean_forests._woodlands_and_scrublands,39.105267,-0.400584,-1.3951,1.2433
12,Garc a,2018,Derelomus_chamaeropis,Visits,Once_burned-unburned,early,Wildfire,Beetles,Shrublands,Shrubs,Mediterranean_forests._woodlands_and_scrublands,39.105267,-0.400584,-1.0563,1.1395
12,Garc a,2018,Derelomus_chamaeropis,Visits,Once_burned-unburned,early,Wildfire,Beetles,Shrublands,Shrubs,Mediterranean_forests._woodlands_and_scrublands,39.105267,-0.400584,-0.4353,1.0237
12,Garc a,2018,Meligethinus_pallidulus,Visits,Once_burned-unburned,early,Wildfire,Beetles,Shrublands,Shrubs,Mediterranean_forests._woodlands_and_scrublands,39.105267,-0.400584,-0.6965,1.0606
12,Garc a,2018,Meligethinus_pallidulus,Visits,Once_burned-unburned,early,Wildfire,Beetles,Shrublands,Shrubs,Mediterranean_forests._woodlands_and_scrublands,39.105267,-0.400584,-3.7496,2.7575
13,Goldas,2022,NA,Visits,Once_burned-unburned,early,Wildfire,Bees,Grassland,NA,Tropical_and_subtropical_grasslands._savannahs._and_shrublands,-30.10442202,-51.09570872,1.5497,0.6501
13,Goldas,2022,NA,Visits,Once_burned-unburned,early,Wildfire,Bees,Grassland,NA,Tropical_and_subtropical_grasslands._savannahs._and_shrublands,-30.10442202,-51.09570872,0.6668,0.5278
