species,genus,family,species.relative,genus.relative
Abutilon_grandifolium,Abutilon,Malvaceae,,
Acanthospermum_hispidum,Acanthospermum,Asteraceae,,
Acanthosyris_falcata,Acanthosyris,Santalaceae,,
Achatocarpus_praecox,Achatocarpus,Achatocarpaceae,,
Achyrocline_satureioides,Achyrocline,Asteraceae,,
Adesmia_muricata,Adesmia,Fabaceae,,
Aeschynomene_americana,Aeschynomene,Fabaceae,,
Aeschynomene_denticulata,Aeschynomene,Fabaceae,,
Aeschynomene_rudis,Aeschynomene,Fabaceae,,
Agave_americana,Agave,Asparagaceae,,
Allenrolfea_patagonica,Allenrolfea,Chenopodiaceae,,
Allenrolfea_vaginata,Allenrolfea,Chenopodiaceae,,
Allophylus_edulis,Allophylus,Sapindaceae,,
Aloysia_gratissima,Aloysia,Verbenaceae,,
Aloysia_scorodonioides,Aloysia,Verbenaceae,,
Alternanthera_aquatica,Alternanthera,Amaranthaceae,,
Alternanthera_paronychioides,Alternanthera,Amaranthaceae,,
Amaranthus_hybridus,Amaranthus,Amaranthaceae,,
Amaranthus_viridis,Amaranthus,Amaranthaceae,,
Anadenanthera_colubrina,Anadenanthera,Fabaceae,,
Anemone_decapetala,Anemone,Ranunculaceae,,
Anisocapparis_speciosa,Anisocapparis,Capparaceae,,
Araujia_brachystephana,Araujia,Apocynaceae,,
Araujia_odorata,Araujia,Apocynaceae,,
Araujia_stuckertiana,Araujia,Apocynaceae,,
Aristida_adscensionis,Aristida,Poaceae,,
Aristida_mendocina,Aristida,Poaceae,,
Aristolochia_ceresensis,Aristolochia,Aristolochiaceae,,
Aspidosperma_quebracho-blanco,Aspidosperma,Apocynaceae,,
Atamisquea_emarginata,Atamisquea,Capparaceae,,
Atriplex_argentina,Atriplex,Chenopodiaceae,,
Atriplex_cordubensis,Atriplex,Chenopodiaceae,,
Atriplex_lampa,Atriplex,Chenopodiaceae,,
Atriplex_nummularia,Atriplex,Chenopodiaceae,,
Atriplex_semibaccata,Atriplex,Chenopodiaceae,,
Atriplex_undulata,Atriplex,Chenopodiaceae,,
Avena_sativa,Avena,Poaceae,,
Baccharis_coridifolia,Baccharis,Asteraceae,,
Baccharis_dracunculifolia,Baccharis,Asteraceae,,
Baccharis_flabellata,Baccharis,Asteraceae,,
Baccharis_salicifolia,Baccharis,Asteraceae,,
Baccharis_tenella,Baccharis,Asteraceae,,
Baccharis_trimera,Baccharis,Asteraceae,,
Baccharis_ulicina,Baccharis,Asteraceae,,
Boerhavia_diffusa,Boerhavia,Nyctaginaceae,,
Bothriochloa_springfieldii,Bothriochloa,Poaceae,,
Bougainvillea_praecox,Bougainvillea,Nyctaginaceae,,
Bougainvillea_stipitata,Bougainvillea,Nyctaginaceae,,
Bouteloua_aristidoides,Bouteloua,Poaceae,,
Bouteloua_barbata,Bouteloua,Poaceae,,
Bouteloua_megapotamica,Bouteloua,Poaceae,,
Bromelia_hieronymi,Bromelia,Bromeliaceae,,
Bromelia_serra,Bromelia,Bromeliaceae,,
Bromus_catharticus,Bromus,Poaceae,,
Broussonetia_papyrifera,Broussonetia,Moraceae,,
Buddleja_mendozensis,Buddleja,Scrophulariaceae,,
Bulnesia_foliosa,Bulnesia,Zygophyllaceae,,
Callianthe_pauciflora,Callianthe,Malvaceae,,
Canna_indica,Canna,Cannaceae,,
Capsicum_chacoense,Capsicum,Solanaceae,,
Cardiospermum_halicacabum,Cardiospermum,Sapindaceae,,
Castela_coccinea,Castela,Simaroubaceae,,
Ceiba_chodatii,Ceiba,Malvaceae,,
Ceiba_speciosa,Ceiba,Malvaceae,,
Celtis_chichape,Celtis,Cannabaceae,,
Celtis_iguanaea,Celtis,Cannabaceae,,
Celtis_lancifolia,Celtis,Cannabaceae,,
Celtis_pallida,Celtis,Cannabaceae,,
Celtis_tala,Celtis,Cannabaceae,,
Cenchrus_ciliaris,Cenchrus,Poaceae,,
Cenchrus_myosuroides,Cenchrus,Poaceae,,
Cenchrus_pilcomayensis,Cenchrus,Poaceae,,
Cenchrus_spinifex,Cenchrus,Poaceae,,
Ceratophyllum_demersum,Ceratophyllum,Ceratophyllaceae,,
Cereus_forbesii,Cereus,Cactaceae,,
Cestrum_parqui,Cestrum,Solanaceae,,
Chenopodium_album,Chenopodium,Chenopodiaceae,,
Chenopodium_papulosum,Chenopodium,Chenopodiaceae,,
Chloris_barbata,Chloris,Poaceae,,
Chloris_castilloniana,Chloris,Poaceae,,
Chloris_gayana,Chloris,Poaceae,,
Chloris_halophila,Chloris,Poaceae,,
Chloris_virgata,Chloris,Poaceae,,
Chromolaena_christieana,Chromolaena,Asteraceae,,
Cleistocactus_baumannii,Cleistocactus,Cactaceae,,
Cleistocactus_smaragdiflorus,Cleistocactus,Cactaceae,,
Clematis_campestris,Clematis,Ranunculaceae,,
Cnidoscolus_albomaculatus,Cnidoscolus,Euphorbiaceae,,
Cnidoscolus_urens,Cnidoscolus,Euphorbiaceae,,
Coccoloba_spinescens,Coccoloba,Polygonaceae,,
Commelina_erecta,Commelina,Commelinaceae,,
Condalia_buxifolia,Condalia,Rhamnaceae,,
Condalia_microphylla,Condalia,Rhamnaceae,,
Condalia_montana,Condalia,Rhamnaceae,,
Conyza_bonariensis,Conyza,Asteraceae,,
Copernicia_alba,Copernicia,Arecaceae,,
Cordobia_argentea,Cordobia,Malpighiaceae,,
Coriandrum_sativum,Coriandrum,Apiaceae,,
Cortaderia_selloana,Cortaderia,Poaceae,,
Cottea_pappophoroides,Cottea,Poaceae,,
Crotalaria_incana,Crotalaria,Fabaceae,,
Croton_bonplandianus,Croton,Euphorbiaceae,,
Croton_lachnostachyus,Croton,Euphorbiaceae,,
Cucumis_anguria,Cucumis,Cucurbitaceae,,
Cucurbita_maxima,Cucurbita,Cucurbitaceae,,
Cucurbitella_asperata,Cucurbitella,Cucurbitaceae,,
Cyclolepis_genistoides,Cyclolepis,Asteraceae,,
Cynanchum_montevidense,Cynanchum,Apocynaceae,,
Cynodon_dactylon,Cynodon,Poaceae,,
Cynophalla_retusa,Cynophalla,Capparaceae,,
Cyperus_corymbosus,Cyperus,Cyperaceae,,
Cyperus_entrerianus,Cyperus,Cyperaceae,,
Cyperus_esculentus,Cyperus,Cyperaceae,,
Cyperus_haspan,Cyperus,Cyperaceae,,
Cyperus_niger,Cyperus,Cyperaceae,,
Cyperus_rotundus,Cyperus,Cyperaceae,,
Deinacanthon_urbanianum,Deinacanthon,Bromeliaceae,,
Desmanthus_acuminatus,Desmanthus,Fabaceae,,
Desmanthus_tatuhyensis,Desmanthus,Fabaceae,,
Desmanthus_virgatus,Desmanthus,Fabaceae,,
Dichondra_sericea,Dichondra,Convolvulaceae,,
Digitaria_californica,Digitaria,Poaceae,,
Digitaria_insularis,Digitaria,Poaceae,,
Diplachne_fusca,Diplachne,Poaceae,,
Disakisperma_dubium,Disakisperma,Poaceae,,
Distichlis_acerosa,Distichlis,Poaceae,,
Distichlis_scoparia,Distichlis,Poaceae,,
Distichlis_spicata,Distichlis,Poaceae,,
Dolichandra_cynanchoides,Dolichandra,Bignoniaceae,,
Dyckia_floribunda,Dyckia,Bromeliaceae,,
Dyckia_longipetala,Dyckia,Bromeliaceae,,
Dysphania_ambrosioides,Dysphania,Chenopodiaceae,,
Echinochloa_colona,Echinochloa,Poaceae,,
Echinochloa_helodes,Echinochloa,Poaceae,,
Echinodorus_paniculatus,Echinodorus,Alismataceae,,
Echinopsis_aurea,Echinopsis,Cactaceae,,
Egletes_viscosa,Egletes,Asteraceae,,
Cortesia_cuneifolia,Cortesia,Boraginaceae,,
Eleocharis_elegans,Eleocharis,Cyperaceae,,
Elionurus_muticus,Elionurus,Poaceae,,
Elymus_scabrifolius,Elymus,Poaceae,,
Enneapogon_desvauxii,Enneapogon,Poaceae,,
Enterolobium_contortisiliquum,Enterolobium,Fabaceae,,
Enydra_anagallis,Enydra,Asteraceae,,
Ephedra_triandra,Ephedra,Ephedraceae,,
Ephedra_tweedieana,Ephedra,Ephedraceae,,
Eragrostis_cilianensis,Eragrostis,Poaceae,,
Eragrostis_lugens,Eragrostis,Poaceae,,
Eragrostis_orthoclada,Eragrostis,Poaceae,,
Eragrostis_spicata,Eragrostis,Poaceae,,
Eriochloa_punctata,Eriochloa,Poaceae,,
Eryngium_coronatum,Eryngium,Apiaceae,,
Eryngium_ebracteatum,Eryngium,Apiaceae,,
Erythroxylum_cuneifolium,Erythroxylum,Erythroxylaceae,,
Austrobrickellia_patens,Austrobrickellia,Asteraceae,,
Euphorbia_berteroana,Euphorbia,Euphorbiaceae,,
Euphorbia_hirta,Euphorbia,Euphorbiaceae,,
Euphorbia_serpens,Euphorbia,Euphorbiaceae,,
Eustachys_retusa,Eustachys,Poaceae,,
Funastrum_clausum,Funastrum,Apocynaceae,,
Funastrum_gracile,Funastrum,Apocynaceae,,
Gaillardia_megapotamica,Gaillardia,Asteraceae,,
Galactia_latisiliqua,Galactia,Fabaceae,,
Galactia_texana,Galactia,Fabaceae,,
Gamochaeta_filaginea,Gamochaeta,Asteraceae,,
Gamochaeta_platensis,Gamochaeta,Asteraceae,,
Geoffroea_decorticans,Geoffroea,Fabaceae,,
Glandularia_incisa,Glandularia,Verbenaceae,,
Glandularia_peruviana,Glandularia,Verbenaceae,,
Gomesa_bifolia,Gomesa,Orchidaceae,,
Gomphrena_boliviana,Gomphrena,Amaranthaceae,,
Gomphrena_haenkeana,Gomphrena,Amaranthaceae,,
Gomphrena_perennis,Gomphrena,Amaranthaceae,,
Gomphrena_pulchella,Gomphrena,Amaranthaceae,,
Gonopterodendron_sarmientoi,Gonopterodendron,Zygophyllaceae,,
Gossypium_barbadense,Gossypium,Malvaceae,,
Gouinia_latifolia,Gouinia,Poaceae,,
Gouinia_paraguayensis,Gouinia,Poaceae,,
Gymnocalycium_schickendantzii,Gymnocalycium,Cactaceae,,
Harrisia_bonplandii,Harrisia,Cactaceae,,
Harrisia_pomanensis,Harrisia,Cactaceae,,
Hedeoma_multiflora,Hedeoma,Lamiaceae,,
Heimia_salicifolia,Heimia,Lythraceae,,
Helianthus_annuus,Helianthus,Asteraceae,,
Heliotropium_curassavicum,Heliotropium,Boraginaceae,,
Heliotropium_procumbens,Heliotropium,Boraginaceae,,
Hemarthria_altissima,Hemarthria,Poaceae,,
Heteropterys_dumetorum,Heteropterys,Malpighiaceae,,
Heterostachys_ritteriana,Heterostachys,Chenopodiaceae,,
Hordeum_stenostachys,Hordeum,Poaceae,,
Hordeum_vulgare,Hordeum,Poaceae,,
Hyalis_argentea,Hyalis,Asteraceae,,
Hydrocleys_nymphoides,Hydrocleys,Limnocharitaceae,,
Hydrocotyle_ranunculoides,Hydrocotyle,Apiaceae,,
Hypochaeris_chillensis,Hypochaeris,Asteraceae,,
Hyptis_lappacea,Hyptis,Lamiaceae,,
Imperata_brasiliensis,Imperata,Poaceae,,
Imperata_contracta,Imperata,Poaceae,,
Indigofera_suffruticosa,Indigofera,Fabaceae,,
Ipomoea_purpurea,Ipomoea,Convolvulaceae,,
Jaborosa_integrifolia,Jaborosa,Solanaceae,,
Jarava_ichu,Jarava,Poaceae,,
Jarava_leptostachya,Jarava,Poaceae,,
Juglans_australis,Juglans,Juglandaceae,,
Justicia_comata,Justicia,Acanthaceae,,
Justicia_gilliesii,Justicia,Acanthaceae,,
Justicia_squarrosa,Justicia,Acanthaceae,,
Justicia_tweediana,Justicia,Acanthaceae,,
Kallstroemia_tucumanensis,Kallstroemia,Zygophyllaceae,,
Lantana_balansae,Lantana,Verbenaceae,,
Larrea_divaricata,Larrea,Zygophyllaceae,,
Lecanophora_ecristata,Lecanophora,Malvaceae,,
Lecanophora_heterophylla,Lecanophora,Malvaceae,,
Leersia_hexandra,Leersia,Poaceae,,
Lemna_gibba,Lemna,Araceae,,
Lepidium_auriculatum,Lepidium,Brassicaceae,,
Leptochloa_crinita,Leptochloa,Poaceae,,
Leptochloa_virgata,Leptochloa,Poaceae,,
Libidibia_paraguariensis,Libidibia,Fabaceae,,
Ligaria_cuneifolia,Ligaria,Loranthaceae,,
Ligustrum_lucidum,Ligustrum,Oleaceae,,
Limnobium_laevigatum,Limnobium,Hydrocharitaceae,,
Lippia_junelliana,Lippia,Verbenaceae,,
Lippia_salsa,Lippia,Verbenaceae,,
Lippia_turbinata,Lippia,Verbenaceae,,
Lithraea_molleoides,Lithraea,Anacardiaceae,,
Lotus_tenuis,Lotus,Fabaceae,,
Louisiella_elephantipes,Louisiella,Poaceae,,
Ludwigia_peploides,Ludwigia,Onagraceae,,
Luziola_peruviana,Luziola,Poaceae,,
Lycium_americanum,Lycium,Solanaceae,,
Lycium_boerhaviifolium,Lycium,Solanaceae,,
Lycium_cestroides,Lycium,Solanaceae,,
