parcela	uso	arbol	floresxmetro	frutos	fruitset	nofruitset	fs	nfs	cones	frutostot	diam
A1	SF	2115	2292	6	0.0066	0.9934	1	99	4	2500	112
A1	SF	2116	2103	5	0.0037	0.9963	0	100	2	400	111
A1	SF	2117	1413	4	0.0043	0.9957	0	100	3	200	72
A1	SF	2118	1075	3	0.006	0.994	1	99	1	500	47
A1	SF	2119	806	7	0.0219	0.9781	2	98	2	800	80
A2	SF	2136	1031	8	0.0122	0.9878	1	99	4	700	146
A2	SF	2135	793	8	0.0219	0.9781	2	98	6	600	75
A2	SF	2137	483	9	0.0322	0.9678	3	97	3	500	49
A2	SF	2138	1096	3	0.0034	0.9966	0	100	6	600	87
A2	SF	2139	517	6	0.015	0.985	2	99	8	400	81
A3	SF	2170	521	0	0	1	0	100	3	10	46
A3	SF	2171	809	2	0.0022	0.9978	0	100	6	500	135
A3	SF	2172	1017	4	0.0045	0.9955	0	100	4	150	118
A3	SF	2173	624	5	0.0112	0.9888	1	99	9	150	104
A3	SF	2174	573	4	0.0093	0.9907	1	99	9	300	88
G4	CS	2120	1104	6	0.0102	0.9898	1	99	1	1700	170
G4	CS	2121	1123	13	0.0171	0.9829	2	98	1	4500	122
G4	CS	2122	1291	16	0.0233	0.9767	2	98	3	6500	156
G4	CS	2123	1173	12	0.0128	0.9872	1	99	4	6500	144
G4	CS	2124	456	6	0.0167	0.9833	2	98	4	7000	152
G5	CS	2125	743	4	0.0067	0.9933	1	99	4	1800	140
G5	CS	2126	1287	6	0.0077	0.9923	1	99	3	2000	66
G5	CS	2127	1794	1	0.0017	0.9983	0	100	3	1000	120
G5	CS	2128	1036	5	0.0065	0.9935	1	99	3	1500	125
G5	CS	2129	1618	7	0.0071	0.9929	1	99	4	800	157
G6	CS	2130	1178	3	0.0057	0.9943	1	99	2	2000	118
G6	CS	2131	443	4	0.0075	0.9925	1	99	3	200	119
G6	CS	2132	1268	2	0.0028	0.9972	0	100	2	600	86
G6	CS	2133	306	5	0.0171	0.9829	2	98	2	1000	132
G6	CS	2134	793	1	0.0027	0.9973	0	100	1	1200	157
E7	CSF	2150	485	9	0.0214	0.9786	2	98	3	800	179
E7	CSF	2151	818	18	0.0273	0.9727	3	97	3	200	64
E7	CSF	2152	548	6	0.0167	0.9833	2	98	6	700	178
E7	CSF	2153	652	6	0.0145	0.9855	1	99	5	300	144
E7	CSF	2154	1059	9	0.0091	0.9909	1	99	5	500	104
E8	CSF	2140	797	10	0.0099	0.9901	1	99	3	600	190
E8	CSF	2141	1349	16	0.0195	0.9805	2	98	6	400	150
E8	CSF	2142	727	7	0.0153	0.9847	2	98	5	700	128
E8	CSF	2143	1351	17	0.0195	0.9805	2	98	2	1800	112
E8	CSF	2144	548	11	0.0172	0.9828	2	98	4	1800	95
E9	CSF	2145	592	7	0.0131	0.9869	1	99	4	1500	185
E9	CSF	2146	628	8	0.0189	0.9811	2	98	2	2500	156
E9	CSF	2147	707	6	0.0116	0.9884	1	99	1	1300	174
E9	CSF	2148	648	6	0.013	0.987	1	99	2	1400	170
E9	CSF	2149	461	8	0.0201	0.9799	2	98	4	1200	84
C10	OF	2155	962	10	0.0205	0.9795	2	98	2	2100	151
C10	OF	2156	595	7	0.0157	0.9843	2	98	2	1500	106
C10	OF	2157	1221	12	0.0148	0.9852	1	99	1	4500	143
C10	OF	2158	837	6	0.0101	0.9899	1	99	9	1000	132
C10	OF	2159	773	8	0.0168	0.9832	2	98	8	2000	123
C11	OF	2160	418	5	0.0147	0.9853	1	99	2	3500	183
C11	OF	2161	501	6	0.0145	0.9855	1	99	6	700	128
C11	OF	2162	420	23	0.0526	0.9474	5	95	5	1500	118
C11	OF	2163	475	8	0.0183	0.9817	2	98	10	4000	170
C12	OF	2164	590	5	0.0156	0.9844	2	98	5	3000	137
C12	OF	2165	783	6	0.0176	0.9824	2	98	3	3000	192
C12	OF	2166	885	10	0.0247	0.9753	2	98	3	3500	115
C12	OF	2167	383	3	0.0077	0.9923	1	99	3	1000	113
C12	OF	2168	725	5	0.017	0.983	2	98	3	600	85
C12	OF	2169	351	3	0.0118	0.9882	1	99	5	1300	141
